Skill Name,Naval,Agricultural,Civil,Electrical,Mechanical
Fine Arts,1.0,1.15,1.26,1.05,1.12
Therapy and Counseling,1.09,1.38,1.23,1.11,1.14
Philosophy and Theology,1.09,1.54,1.43,1.3,1.04
Food Production,1.26,3.73,1.0,1.09,1.08
History and Archeology,1.26,1.77,1.57,1.32,1.17
Medicine and Dentistry,1.32,1.38,1.09,1.2,1.8
Sociology and Anthropology,1.39,2.08,1.65,1.27,1.3
Biology,1.7,3.65,1.52,1.25,1.56
Foreign Language,1.7,2.0,1.39,1.31,1.22
Communications and Media,1.7,2.46,2.32,2.08,1.95
Psychology,1.87,2.35,2.57,1.74,1.24
Telecommunications,2.09,2.35,1.86,2.0,2.31
Geography,2.17,2.88,2.35,1.74,1.95
Sales and Marketing,2.3,2.42,2.86,1.7,2.34
Personnel and Human Resources,2.43,2.85,3.0,1.91,2.22
Education and Training,2.45,3.08,2.86,3.08,3.04
Clerical,2.48,2.52,2.5,2.83,3.0
Building and Construction,2.52,3.35,4.43,2.01,2.44
Computers and Electronics,2.65,3.81,3.17,4.29,3.8
Law and Government,2.7,2.96,3.41,2.04,2.25
Economics and Accounting,2.74,2.73,3.18,2.01,2.49
Production and Processing,2.82,3.15,2.22,3.27,3.73
Customer and Personal Service,2.83,3.12,3.3,2.82,3.31
Chemistry,2.96,3.31,2.48,2.52,3.16
Administration and Management,3.17,3.04,3.68,2.97,3.13
Public Safety and Security,3.22,3.23,2.95,2.25,2.46
Transportation,3.3,2.77,2.83,1.63,2.09
English Language,3.82,3.88,4.05,3.66,4.24
Design,3.91,4.38,4.22,4.02,4.59
Physics,3.96,4.12,3.61,3.36,4.35
Mathematics,4.09,4.38,4.3,4.02,4.68
Engineering and Technology,4.22,4.65,4.61,4.64,4.89
Mechanical,4.23,3.65,2.65,2.92,4.36
